City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
Portland-Auburn ME,65,45,44,29,63,45,31,26,37,2010
New York NY,62,38,33,24,51,42,26,26,34,2010
Binghamton NY,64,34,49,34,44,46,37,41,31,2010
Macon GA,62,49,46,26,70,41,29,34,41,2010
Philadelphia PA,70,49,39,28,72,49,31,29,41,2010
Detroit MI,68,57,43,28,54,42,27,29,39,2010
Boston MA-Manchester NH,65,37,37,25,75,46,29,24,37,2010
Savannah GA,60,50,45,24,56,38,29,37,41,2010
Pittsburgh PA,75,49,47,31,72,56,31,36,45,2010
Ft. Wayne IN,65,56,45,30,47,38,29,32,43,2010
Cleveland-Akron (Canton) OH,64,40,40,28,56,41,31,28,38,2010
Washington DC (Hagerstown MD),42,31,21,13,30,25,16,14,27,2010
Baltimore MD,70,65,43,28,70,58,30,35,42,2010
Flint-Saginaw-Bay City MI,64,48,45,33,61,42,32,39,38,2010
Buffalo NY,75,33,44,31,54,45,26,33,42,2010
Cincinnati OH,65,46,41,26,58,51,31,34,44,2010
Erie PA,80,30,49,40,60,53,31,39,48,2010
Charlotte NC,61,46,39,25,58,44,29,32,39,2010
Greensboro-High Point-Winston Salem NC,67,39,41,26,63,43,27,36,42,2010
Charleston SC,73,56,52,28,49,61,34,35,50,2010
Augusta GA,77,100,52,26,60,44,25,36,51,2010
Providence RI-New Bedford MA,65,38,40,30,67,50,28,31,38,2010
Columbus GA,67,58,46,36,67,75,28,52,47,2010
Burlington VT-Plattsburgh NY,56,33,37,22,57,33,25,18,28,2010
Atlanta GA,62,46,37,22,52,41,26,26,36,2010
Albany GA,63,43,42,26,54,48,26,37,44,2010
Utica NY,59,60,39,43,54,48,27,57,38,2010
Indianapolis IN,71,58,42,30,54,54,27,40,53,2010
Miami-Ft. Lauderdale FL,58,43,36,21,50,35,24,20,35,2010
Louisville KY,66,52,43,26,76,46,35,28,42,2010
Tallahassee FL-Thomasville GA,72,53,35,31,68,62,25,43,52,2010
Tri-Cities TN-VA,70,89,54,28,61,45,35,28,40,2010
Albany-Schenectady-Troy NY,66,34,42,29,57,52,32,32,38,2010
Hartford & New Haven CT,71,41,42,29,71,50,32,34,39,2010
Orlando-Daytona Beach-Melbourne FL,62,49,40,22,63,36,29,23,36,2010
Columbus OH,69,45,40,28,58,50,28,33,43,2010
Youngstown OH,69,33,46,33,61,31,30,45,37,2010
Bangor ME,66,46,43,40,56,46,23,39,40,2010
Rochester NY,68,43,43,29,50,42,32,29,38,2010
Tampa-St. Petersburg (Sarasota) FL,68,49,41,23,68,40,29,21,36,2010
Traverse City-Cadillac MI,71,37,52,27,53,62,22,31,42,2010
Lexington KY,71,57,43,35,65,41,28,57,46,2010
Dayton OH,64,41,47,27,48,44,29,34,39,2010
Springfield-Holyoke MA,60,38,35,32,64,50,31,38,36,2010
Norfolk-Portsmouth-Newport News VA,59,61,41,24,50,42,27,28,40,2010
Greenville-New Bern-Washington NC,68,40,61,29,67,52,36,47,46,2010
Columbia SC,65,56,45,28,56,44,27,37,41,2010
Toledo OH,67,44,39,32,68,46,29,42,42,2010
West Palm Beach-Ft. Pierce FL,51,32,30,19,47,23,19,18,29,2010
Watertown NY,66,26,74,32,41,35,30,33,34,2010
Wilmington NC,67,33,44,28,75,50,32,35,45,2010
Lansing MI,65,64,38,33,58,53,32,50,39,2010
Presque Isle ME,66,69,64,27,40,23,54,100,68,2010
Marquette MI,60,28,56,33,64,52,27,29,40,2010
Wheeling WV-Steubenville OH,75,48,39,45,60,37,33,39,50,2010
Syracuse NY,71,47,42,30,49,55,33,39,40,2010
Richmond-Petersburg VA,67,65,38,27,60,47,29,35,41,2010
Knoxville TN,64,59,49,25,65,45,33,30,46,2010
Lima OH,65,24,28,31,49,38,37,34,41,2010
Bluefield-Beckley-Oak Hill WV,73,33,46,20,68,44,28,19,51,2010
