City,location_id,Cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year,Latitude,Longitude
Abilene-Sweetwater TX,662,27,0,16,67,17,50,32,28,45,2004,32.4106903,-99.7653019
Albany GA,525,44,5,12,43,27,24,16,18,46,2004,31.5785074,-84.155741
Albany-Schenectady-Troy NY,532,47,7,14,49,18,34,19,26,31,2004,42.7636479,-73.6536209
Albuquerque-Santa Fe NM,790,43,6,13,44,13,30,13,32,45,2004,35.658802,-105.9603685
Alexandria LA,644,36,0,49,64,26,51,44,38,55,2004,31.3112936,-92.4451371
Alpena MI,583,69,0,100,97,0,0,0,0,100,2004,45.0616794,-83.4327528
Amarillo TX,634,41,6,16,51,14,20,12,20,42,2004,35.2219971,-101.8312969
Anchorage AK,743,35,5,16,35,13,31,11,24,38,2004,61.2180556,-149.9002778
Atlanta GA,524,42,6,15,35,19,36,13,23,36,2004,33.7489954,-84.3879824
Augusta GA,520,48,12,26,39,18,24,14,33,37,2004,33.4734978,-82.0105148
Austin TX,635,37,5,13,38,18,31,17,22,33,2004,30.267153,-97.7430608
Bakersfield CA,800,38,5,14,58,10,28,20,35,41,2004,35.3732921,-119.0187125
Baltimore MD,512,51,9,18,44,18,44,16,29,40,2004,39.2903848,-76.6121893
Bangor ME,537,49,13,21,74,14,62,11,48,44,2004,44.8016128,-68.7712257
Baton Rouge LA,716,43,12,19,34,20,25,16,38,49,2004,30.4514677,-91.1871466
Beaumont-Port Arthur TX,692,45,10,18,20,8,35,20,39,47,2004,30.080174,-94.1265562
Bend OR,821,53,12,18,48,14,55,12,46,45,2004,44.0581728,-121.3153096
"Billings, MT",756,34,18,20,100,25,59,20,35,49,2004,45.7832856,-108.5006904
Biloxi-Gulfport MS,746,37,6,15,23,16,27,17,20,37,2004,30.3674198,-89.0928155
Binghamton NY,502,48,3,16,50,12,37,24,31,37,2004,42.0986867,-75.9179738
Birmingham AL,630,48,11,22,37,25,39,15,27,42,2004,33.5185892,-86.8103567
Bluefield-Beckley-Oak Hill WV,559,56,0,24,46,19,36,0,67,23,2004,37.2698395,-81.2223195
Boise ID,757,39,4,16,38,22,30,13,42,39,2004,43.6150186,-116.2023137
Boston MA-Manchester NH,506,48,6,15,38,25,34,14,27,37,2004,42.929687,-71.4352177
Bowling Green KY,736,39,5,14,54,18,25,18,47,31,2004,36.9685219,-86.4808043
Buffalo NY,514,49,5,20,49,18,25,16,26,37,2004,42.8864468,-78.8783689
Burlington VT-Plattsburgh NY,523,49,6,14,53,21,44,10,43,38,2004,44.6988382,-73.3804304
Butte-Bozeman MT,754,46,0,15,35,17,42,20,62,27,2004,45.6734503,-111.0924495
Casper-Riverton WY,767,45,0,17,42,21,27,46,60,37,2004,42.8505217,-106.3085313
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,637,55,11,15,63,13,27,17,51,42,2004,41.9778795,-91.6656232
Champaign & Springfield-Decatur IL,648,44,7,13,55,13,44,16,35,42,2004,,
Charleston SC,519,55,14,20,42,16,23,15,15,42,2004,32.7764749,-79.9310512
Charleston-Huntington WV,564,42,5,12,50,24,27,17,33,39,2004,38.4123775,-82.4270257
Charlotte NC,517,43,7,16,39,21,29,16,25,35,2004,35.2270869,-80.8431267
Charlottesville VA,584,43,12,19,45,15,47,12,27,35,2004,38.0293059,-78.4766781
Chattanooga TN,575,43,3,16,41,11,26,23,36,39,2004,35.0456297,-85.3096801
Cheyenne WY-Scottsbluff NE,759,35,9,17,46,20,40,11,29,46,2004,41.876312,-103.637984
Chicago IL,602,44,6,15,41,20,31,14,26,35,2004,41.8781136,-87.6297982
Chico-Redding CA,868,36,4,22,33,16,49,14,41,24,2004,39.775148,-121.8699698
Cincinnati OH,515,45,6,18,43,17,25,15,28,39,2004,39.1031182,-84.5120196
Clarksburg-Weston WV,598,47,0,14,40,18,21,24,46,36,2004,39.2638017,-80.326903
Cleveland-Akron (Canton) OH,510,42,6,16,44,18,26,14,25,36,2004,41.0953742,-81.5867677
Colorado Springs-Pueblo CO,752,32,5,19,32,20,24,12,26,26,2004,38.7978203,-104.7935738
Columbia SC,546,45,5,12,45,19,29,11,37,35,2004,34.0007104,-81.0348144
Columbia-Jefferson City MO,604,56,9,12,65,23,36,14,50,49,2004,38.9517053,-92.3340724
Columbus GA,522,41,7,17,46,25,33,14,64,39,2004,32.4609764,-84.9877094
Columbus OH,535,46,6,14,43,17,36,14,23,34,2004,39.9611755,-82.9987942
Columbus-Tupelo-West Point MS,673,48,8,14,29,19,37,16,34,26,2004,34.2708332,-88.7150718
Corpus Christi TX,600,37,7,17,37,18,32,11,32,43,2004,27.8005828,-97.396381
Dallas-Ft. Worth TX,623,38,7,16,35,19,27,12,22,35,2004,32.7766642,-96.7969879
Davenport IA-Rock Island-Moline IL,682,43,7,18,44,16,36,14,26,40,2004,41.5067003,-90.5151342
Dayton OH,542,43,3,12,45,19,21,13,34,35,2004,39.7589478,-84.1916069
Denver CO,751,40,6,15,37,16,26,14,24,33,2004,39.7392358,-104.990251
Des Moines-Ames IA,679,46,7,15,48,15,38,15,32,42,2004,42.0236281,-93.6097448
Detroit MI,505,47,6,16,45,14,31,15,27,34,2004,42.331427,-83.0457538
Dothan AL,606,46,11,30,20,26,51,29,75,41,2004,31.2232313,-85.3904888
Duluth MN-Superior WI,676,45,9,15,64,9,57,23,59,45,2004,46.7207737,-92.1040796
El Paso TX,765,43,5,13,43,8,28,7,51,46,2004,31.7618778,-106.4850217
Elmira NY,565,41,0,28,27,15,29,25,85,40,2004,42.0897965,-76.8077338
Erie PA,516,53,14,17,50,25,43,8,53,44,2004,42.1292241,-80.085059
Eugene OR,801,41,9,19,44,15,42,11,39,40,2004,44.0520691,-123.0867536
Eureka CA,802,33,0,13,49,25,49,17,0,23,2004,40.8020712,-124.1636729
Evansville IN,649,53,6,22,55,26,20,11,35,37,2004,37.9715592,-87.5710898
Fairbanks AK,745,36,12,32,47,0,43,18,52,36,2004,64.8377778,-147.7163888
Fargo-Valley City ND,724,45,6,17,53,10,35,17,32,38,2004,46.9243955,-98.0035186
Flint-Saginaw-Bay City MI,513,43,8,17,50,12,34,19,48,31,2004,43.5993199,-83.8890847
Florence-Myrtle Beach SC,570,55,5,24,52,31,24,10,43,41,2004,33.703071,-78.8892497
Fresno-Visalia CA,866,34,7,13,48,16,19,5,33,34,2004,36.32166,-119.3148878
Ft. Myers-Naples FL,571,48,6,11,27,18,20,10,25,21,2004,26.1411682,-81.7935098
Ft. Smith-Fayetteville-Springdale-Rogers AR,670,48,5,18,34,23,17,12,50,36,2004,,
Ft. Wayne IN,509,42,4,14,50,15,25,15,25,36,2004,41.079273,-85.1393513
Gainesville FL,592,45,11,22,36,25,53,15,35,51,2004,29.6516344,-82.3248262
Glendive MT,798,43,0,0,0,0,0,0,0,0,2004,47.106401,-104.7107931
Grand Junction-Montrose CO,773,39,11,8,57,14,26,45,57,28,2004,38.4967651,-107.8989028
Grand Rapids-Kalamazoo-Battle Creek MI,563,43,7,19,49,14,26,11,46,39,2004,42.2355515,-85.5515933
Great Falls MT,755,46,12,34,54,15,72,0,32,34,2004,47.5052849,-111.3007715
Green Bay-Appleton WI,658,44,7,16,51,13,23,15,29,34,2004,44.2667743,-88.3850175
Greensboro-High Point-Winston Salem NC,518,47,10,15,45,24,29,13,32,37,2004,35.9556923,-80.0053176
Greenville-New Bern-Washington NC,545,46,10,18,33,28,35,22,65,54,2004,35.5984979,-77.0577179
Greenville-Spartanburg SC-Asheville NC-Anderson SC,567,42,6,16,40,17,23,14,26,37,2004,34.8526176,-82.3940104
Greenwood-Greenville MS,647,34,0,33,97,52,100,0,0,65,2004,33.5171152,-90.1763225
Harlingen-Weslaco-Brownsville-McAllen TX,636,33,6,19,45,29,43,15,38,54,2004,,
Harrisburg-Lancaster-Lebanon-York PA,566,46,9,15,55,20,39,13,26,35,2004,39.9830208,-76.7197723
Harrisonburg VA,569,41,3,17,62,19,24,16,44,51,2004,38.4495688,-78.8689155
Hartford & New Haven CT,533,52,6,16,51,21,43,14,34,35,2004,41.3055024,-72.9267354
Hattiesburg-Laurel MS,710,49,29,15,21,18,34,58,25,54,2004,31.468239,-89.335421
Helena MT,766,36,16,19,52,17,0,36,28,67,2004,46.5891452,-112.0391057
Honolulu HI,744,43,6,20,34,17,29,17,34,40,2004,21.3069444,-157.8583333
Houston TX,618,47,8,16,33,18,29,12,24,37,2004,29.7604267,-95.3698028
Huntsville-Decatur (Florence) AL,691,41,7,18,48,18,29,12,20,34,2004,34.8279976,-87.6209133
Idaho Falls-Pocatello ID,758,40,0,16,36,19,18,31,66,34,2004,42.906046,-112.4315298
Indianapolis IN,527,49,10,17,47,16,31,15,38,45,2004,39.768403,-86.158068
Jackson MS,718,49,13,17,49,19,24,20,35,47,2004,32.2987573,-90.1848103
Jackson TN,639,38,8,16,36,20,14,12,18,27,2004,35.6145169,-88.8139469
Jacksonville FL,561,42,5,14,32,19,24,12,29,40,2004,30.3321838,-81.655651
Johnstown-Altoona PA,574,47,8,17,40,9,41,11,60,36,2004,40.4529782,-78.3930329
Jonesboro AR,734,52,0,15,66,27,35,0,52,38,2004,35.8422967,-90.704279
Joplin MO-Pittsburg KS,603,45,8,16,53,44,37,16,42,34,2004,37.3948426,-94.700525
Juneau AK,747,46,0,19,54,15,22,28,0,58,2004,58.3019444,-134.4197221
Kansas City MO,616,45,6,16,41,15,36,15,27,36,2004,39.0997265,-94.5785667
Knoxville TN,557,46,5,16,35,15,21,13,41,38,2004,35.9606384,-83.9207392
La Crosse-Eau Claire WI,702,44,5,16,56,15,32,14,54,33,2004,44.8651049,-91.4743642
Lafayette IN,582,54,7,13,32,9,17,7,78,45,2004,40.4167022,-86.8752869
Lafayette LA,642,36,13,14,41,26,17,12,18,32,2004,30.2240897,-92.0198427
Lake Charles LA,643,41,19,21,21,0,0,0,32,52,2004,30.2265949,-93.2173758
Lansing MI,551,49,8,22,58,17,52,11,43,46,2004,42.732535,-84.5555347
Laredo TX,749,30,0,19,20,0,65,0,32,46,2004,27.5035613,-99.5075519
Las Vegas NV,839,33,4,16,32,16,22,16,17,30,2004,36.1699412,-115.1398296
Lexington KY,541,61,15,21,57,15,30,14,82,47,2004,38.0405837,-84.5037164
Lima OH,558,45,11,13,49,13,26,22,29,31,2004,40.742551,-84.1052256
Lincoln & Hastings-Kearney NE,722,41,7,18,43,17,25,18,42,46,2004,40.5827492,-98.3915866
Little Rock-Pine Bluff AR,693,45,8,13,44,19,30,14,30,44,2004,34.2025124,-92.0491611
Los Angeles CA,803,37,5,15,33,16,25,11,24,30,2004,34.0522342,-118.2436849
Louisville KY,529,49,5,13,42,25,15,11,43,39,2004,38.2526647,-85.7584557
Lubbock TX,651,37,5,19,47,20,15,18,35,37,2004,33.5778631,-101.8551665
Macon GA,503,44,14,14,37,19,49,14,29,31,2004,32.8406946,-83.6324022
Madison WI,669,49,4,13,48,13,25,12,32,37,2004,43.0730517,-89.4012302
Mankato MN,737,50,22,17,59,8,44,12,37,51,2004,44.1635775,-93.9993996
Marquette MI,553,35,5,22,46,21,28,12,24,30,2004,46.5436199,-87.3953713
Medford-Klamath Falls OR,813,38,12,19,27,13,35,14,41,28,2004,42.224924,-121.7722781
Memphis TN,640,48,8,15,34,19,21,17,28,41,2004,35.1495343,-90.0489801
Meridian MS,711,33,0,0,61,100,0,0,73,63,2004,32.3643098,-88.703656
Miami-Ft. Lauderdale FL,528,37,7,11,29,17,28,7,20,34,2004,26.0947577,-80.1352122
Milwaukee WI,617,42,7,17,48,15,40,12,27,39,2004,43.0389025,-87.9064736
Minneapolis-St. Paul MN,613,43,7,15,43,16,33,13,31,36,2004,44.9374831,-93.2009998
Minot-Bismarck-Dickinson(Williston) ND,687,46,6,16,64,14,31,21,23,48,2004,46.8067257,-100.7865799
Missoula MT,762,41,4,16,47,16,36,16,30,31,2004,46.8721284,-113.9940314
Mobile AL-Pensacola (Ft. Walton Beach) FL,686,39,7,18,37,19,22,10,25,37,2004,30.4684724,-87.2087375
Monroe LA-El Dorado AR,628,58,19,17,35,23,44,19,57,64,2004,33.2152717,-92.64196
Monterey-Salinas CA,828,38,4,12,44,11,29,12,26,32,2004,36.6777372,-121.6555013
Montgomery (Selma) AL,698,43,7,11,40,26,33,13,28,47,2004,32.4068484,-87.0190868
Nashville TN,659,50,10,18,47,23,27,17,31,44,2004,36.1626638,-86.7816016
New Orleans LA,622,43,8,14,39,20,30,15,27,35,2004,29.9510658,-90.0715323
New York NY,501,47,6,13,38,16,33,12,27,32,2004,40.7127753,-74.0059728
Norfolk-Portsmouth-Newport News VA,544,37,7,17,40,13,28,11,27,34,2004,36.8354258,-76.2982742
North Platte NE,740,35,100,57,55,0,0,100,0,75,2004,41.1402759,-100.7601454
Odessa-Midland TX,633,36,0,14,34,28,22,0,24,30,2004,31.9391746,-102.2522487
Oklahoma City OK,650,41,5,12,39,17,33,16,31,38,2004,35.4675602,-97.5164276
Omaha NE,652,46,9,15,41,17,36,20,35,45,2004,41.2565369,-95.9345034
Orlando-Daytona Beach-Melbourne FL,534,39,4,16,32,18,24,11,21,30,2004,,
Ottumwa IA-Kirksville MO,631,58,0,14,59,17,33,14,30,39,2004,,
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,632,52,4,17,55,16,18,18,36,34,2004,37.0833893,-88.6000478
Palm Springs CA,804,43,13,14,40,49,55,23,23,13,2004,33.8302961,-116.5452921
Panama City FL,656,36,5,17,40,21,22,29,16,23,2004,30.1588129,-85.6602058
Parkersburg WV,597,100,0,26,78,42,83,70,0,27,2004,39.2667418,-81.5615135
Peoria-Bloomington IL,675,48,7,14,51,21,27,5,43,39,2004,40.4566216,-88.9758277
Philadelphia PA,504,52,7,16,41,23,36,14,30,37,2004,40.4406248,-79.9958864
Phoenix AZ,753,40,5,17,33,17,29,11,23,35,2004,33.4483771,-112.0740373
Pittsburgh PA,508,51,10,17,50,23,34,16,35,43,2004,,
Portland OR,820,38,4,18,40,15,25,14,29,36,2004,45.5051064,-122.6750261
Portland-Auburn ME,500,44,6,17,39,21,31,14,29,38,2004,44.021648,-70.2832225
Presque Isle ME,552,45,0,22,53,70,0,0,100,44,2004,46.681153,-68.0158614
Providence RI-New Bedford MA,521,43,3,16,45,20,36,17,20,32,2004,41.8563438,-71.2874209
Quincy IL-Hannibal MO-Keokuk IA,717,42,13,15,66,16,39,23,63,32,2004,,
Raleigh-Durham (Fayetteville) NC,560,47,8,17,38,17,49,15,36,39,2004,35.0478668,-78.8565861
Rapid City SD,764,41,0,15,72,14,55,18,20,40,2004,44.0805434,-103.2310149
Reno NV,811,38,5,17,32,15,29,8,21,34,2004,39.5296329,-119.8138027
Richmond-Petersburg VA,556,43,9,17,45,20,34,11,34,38,2004,,
Roanoke-Lynchburg VA,573,42,7,16,51,16,26,9,35,28,2004,37.3177678,-79.9994997
Rochester MN-Mason City IA-Austin MN,611,71,18,26,64,16,33,25,40,58,2004,42.4963416,-96.4049408
Rochester NY,538,43,6,13,49,14,29,14,27,33,2004,43.1565779,-77.6088465
Rockford IL,610,52,10,20,53,13,55,10,31,42,2004,42.2711311,-89.0939952
Sacramento-Stockton-Modesto CA,862,40,4,17,41,12,35,13,29,35,2004,37.9570225,-121.2797902
Salisbury MD,576,38,12,14,40,13,27,47,27,52,2004,38.3606736,-75.5993692
Salt Lake City UT,770,42,6,16,39,16,21,14,35,39,2004,40.7607793,-111.8910474
San Angelo TX,661,30,0,15,57,47,0,0,33,29,2004,31.4637723,-100.4370375
San Antonio TX,641,39,5,15,38,16,37,11,24,40,2004,29.4241219,-98.4936282
San Diego CA,825,42,5,15,31,14,29,11,22,29,2004,32.715738,-117.1610838
San Francisco-Oakland-San Jose CA,807,41,5,15,32,13,28,13,20,31,2004,,
Santa Barbara-Santa Maria-San Luis Obispo CA,855,35,5,13,40,14,30,9,38,27,2004,34.9226032,-120.4299882
Savannah GA,507,43,11,17,37,28,43,10,45,26,2004,32.0808989,-81.091203
Seattle-Tacoma WA,819,42,4,15,39,15,32,13,26,33,2004,47.4502499,-122.3088165
Sherman TX-Ada OK,657,48,22,16,48,26,50,43,38,41,2004,33.6872249,-96.5753925
Shreveport LA,612,42,9,22,45,28,18,17,33,40,2004,32.5251516,-93.7501789
Sioux City IA,624,43,5,13,48,21,34,16,17,28,2004,42.4963416,-96.4049408
Sioux Falls(Mitchell) SD,725,49,7,14,64,16,38,12,47,46,2004,43.5835394,-96.7118155
South Bend-Elkhart IN,588,43,2,14,41,12,14,14,28,36,2004,41.6843287,-85.9708313
Spokane WA,881,44,6,17,49,16,34,10,30,46,2004,47.6587802,-117.4260465
Springfield MO,619,44,6,16,47,15,24,17,43,34,2004,37.2089572,-93.2922989
Springfield-Holyoke MA,543,44,8,18,50,26,40,14,34,33,2004,42.2042586,-72.6162009
St. Joseph MO,638,46,11,17,70,0,26,23,58,28,2004,39.7674578,-94.846681
St. Louis MO,609,47,8,15,43,23,25,15,26,39,2004,38.6270025,-90.1994042
Syracuse NY,555,49,7,18,47,16,40,17,38,35,2004,43.0481221,-76.1474244
Tallahassee FL-Thomasville GA,530,45,13,18,45,13,37,16,36,37,2004,30.3350027,-84.2105744
Tampa-St. Petersburg (Sarasota) FL,539,43,5,18,32,22,24,14,19,33,2004,28.274347,-82.3885783
Terre Haute IN,581,36,6,25,74,13,38,39,95,39,2004,39.4667034,-87.4139092
Toledo OH,547,40,7,13,35,23,38,11,47,37,2004,41.6528052,-83.5378674
Topeka KS,605,40,5,15,39,13,37,19,33,34,2004,39.0473451,-95.6751576
Traverse City-Cadillac MI,540,46,11,11,79,17,35,23,68,32,2004,44.7354212,-85.5946084
Tri-Cities TN-VA,531,37,9,15,37,15,40,14,24,31,2004,36.5450182,-82.5555539
Tucson (Sierra Vista) AZ,789,41,5,18,34,15,32,18,24,38,2004,32.2709837,-110.9614306
Tulsa OK,671,35,4,19,36,21,44,17,18,39,2004,36.1539816,-95.992775
Twin Falls ID,760,55,16,28,52,19,56,32,27,24,2004,42.5558381,-114.4700518
Tyler-Longview(Lufkin & Nacogdoches) TX,709,44,9,19,58,28,26,12,30,56,2004,,
Utica NY,526,42,19,19,63,31,100,19,49,29,2004,43.100903,-75.232664
Victoria TX,626,64,0,35,100,0,0,0,0,35,2004,28.8052674,-97.0035982
Waco-Temple-Bryan TX,625,40,11,14,37,17,19,13,40,39,2004,31.6046625,-97.1980025
Washington DC (Hagerstown MD),511,47,5,15,33,15,46,11,31,37,2004,39.642645,-77.721057
Watertown NY,549,28,0,28,41,19,74,48,27,16,2004,43.9747838,-75.9107565
Wausau-Rhinelander WI,705,46,6,13,45,31,26,19,32,39,2004,45.6555505,-89.3920037
West Palm Beach-Ft. Pierce FL,548,44,5,18,35,19,41,15,23,29,2004,27.366166,-80.2467597
Wheeling WV-Steubenville OH,554,50,11,35,35,33,25,32,18,32,2004,40.3668048,-80.6317037
Wichita Falls TX & Lawton OK,627,40,15,17,32,27,26,15,57,29,2004,34.6092311,-98.418011
Wichita-Hutchinson KS,678,39,6,21,53,13,40,18,44,38,2004,37.6871761,-97.330053
Wilkes Barre-Scranton PA,577,48,7,18,60,23,49,12,41,31,2004,41.2343893,-75.8534771
Wilmington NC,550,50,12,21,44,15,32,19,32,42,2004,34.2103894,-77.8868117
Yakima-Pasco-Richland-Kennewick WA,810,44,2,14,37,6,27,9,30,32,2004,46.2529128,-119.230849
Youngstown OH,536,45,6,12,79,25,27,9,56,29,2004,41.0997803,-80.6495194
Yuma AZ-El Centro CA,771,36,0,23,45,19,54,0,27,31,2004,32.6926512,-114.6276916
Zanesville OH,596,31,0,14,39,43,0,54,0,23,2004,39.9403453,-82.0131924
Abilene-Sweetwater TX,662,51,29,36,10,57,23,30,29,21,2005,32.4106903,-99.7653019
Albany GA,525,69,20,28,14,28,29,9,17,20,2005,31.5785074,-84.155741
Albany-Schenectady-Troy NY,532,67,13,53,13,26,27,26,18,21,2005,42.7636479,-73.6536209
Albuquerque-Santa Fe NM,790,63,8,48,11,22,29,31,14,29,2005,35.658802,-105.9603685
Alexandria LA,644,53,0,57,11,0,49,72,26,20,2005,31.3112936,-92.4451371
Alpena MI,583,43,0,0,100,0,0,0,0,100,2005,45.0616794,-83.4327528
Amarillo TX,634,49,17,37,11,31,53,17,15,33,2005,35.2219971,-101.8312969
Anchorage AK,743,57,6,47,11,13,27,24,16,23,2005,61.2180556,-149.9002778
Atlanta GA,524,63,17,37,9,28,28,22,16,21,2005,33.7489954,-84.3879824
Augusta GA,520,67,21,58,12,42,23,19,21,24,2005,33.4734978,-82.0105148
Austin TX,635,53,15,35,10,24,28,30,15,19,2005,30.267153,-97.7430608
Bakersfield CA,800,50,11,50,12,20,18,19,25,20,2005,35.3732921,-119.0187125
Baltimore MD,512,69,23,43,11,28,35,24,19,22,2005,39.2903848,-76.6121893
Bangor ME,537,77,26,48,19,26,46,25,46,23,2005,44.8016128,-68.7712257
Baton Rouge LA,716,61,15,39,11,31,26,19,18,19,2005,30.4514677,-91.1871466
Beaumont-Port Arthur TX,692,52,17,39,12,20,31,28,8,28,2005,30.080174,-94.1265562
Bend OR,821,59,17,37,10,33,35,28,19,18,2005,44.0581728,-121.3153096
"Billings, MT",756,59,27,68,24,33,19,37,29,28,2005,45.7832856,-108.5006904
Biloxi-Gulfport MS,746,49,13,40,10,15,27,40,15,16,2005,30.3674198,-89.0928155
Binghamton NY,502,62,8,44,13,25,21,23,24,18,2005,42.0986867,-75.9179738
Birmingham AL,630,71,21,54,11,34,24,29,22,26,2005,33.5185892,-86.8103567
Bluefield-Beckley-Oak Hill WV,559,100,78,63,12,23,24,0,51,25,2005,37.2698395,-81.2223195
Boise ID,757,52,8,39,14,33,25,26,22,21,2005,43.6150186,-116.2023137
Boston MA-Manchester NH,506,69,16,41,11,36,31,25,15,22,2005,42.929687,-71.4352177
Bowling Green KY,736,63,28,46,17,20,17,45,35,20,2005,36.9685219,-86.4808043
Buffalo NY,514,73,12,38,12,24,25,21,25,22,2005,42.8864468,-78.8783689
Burlington VT-Plattsburgh NY,523,74,14,45,13,30,31,26,30,24,2005,44.6988382,-73.3804304
Butte-Bozeman MT,754,62,19,49,12,17,44,58,30,21,2005,45.6734503,-111.0924495
Casper-Riverton WY,767,62,18,40,9,32,45,24,27,23,2005,42.8505217,-106.3085313
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,637,76,23,45,13,18,33,25,32,23,2005,41.9778795,-91.6656232
Champaign & Springfield-Decatur IL,648,71,19,47,14,17,33,30,26,26,2005,,
Charleston SC,519,74,19,45,9,35,31,20,24,27,2005,32.7764749,-79.9310512
Charleston-Huntington WV,564,69,15,59,12,30,17,36,24,27,2005,38.4123775,-82.4270257
Charlotte NC,517,58,16,41,10,23,24,29,19,20,2005,35.2270869,-80.8431267
Charlottesville VA,584,63,17,45,11,18,29,31,16,22,2005,38.0293059,-78.4766781
