city,state,postal,location_id,latitude,longitude
Abilene-Sweetwater,Texas,TX,662,32.4106903,-99.7653019
Albany,Georgia,GA,525,42.6525793,-73.7562317
Albany-Schenectady-Troy,New York,NY,532,42.669682,-73.7485195
Albuquerque-Santa,New Mexico,NM,790,35.0843859,-106.650422
Alexandria,Louisiana,LA,644,38.8048355,-77.0469214
Alpena,Michigan,MI,583,45.0616794,-83.4327528
Amarillo,Texas,TX,634,35.2219971,-101.8312969
Anchorage,Alaska,AK,743,61.2180556,-149.9002778
Atlanta,Georgia,GA,524,33.7489954,-84.3879824
Augusta,Georgia,GA,520,33.4734978,-82.0105148
Austin,Texas,TX,635,30.267153,-97.7430608
Bakersfield,California,CA,800,35.3732921,-119.0187125
Baltimore,Maryland,MD,512,39.2903848,-76.6121893
Bangor,Maine,ME,537,44.8016128,-68.7712257
Baton Rouge,Louisiana,LA,716,30.4514677,-91.1871466
Beaumont-Port Arthur,Texas,TX,692,30.080174,-94.1265562
Bend,Oregon,OR,821,44.0581728,-121.3153096
"Billings,",Montana,MT,756,45.7832856,-108.5006904
Biloxi-Gulfport,Mississippi,MS,746,30.3674198,-89.0928155
Binghamton,New York,NY,502,42.0986867,-75.9179738
Birmingham,Alabama,AL,630,33.5185892,-86.8103567
Bluefield-Beckley-Oak Hill,West Virginia,WV,559,37.2698395,-81.2223195
Boise,Idaho,ID,757,43.6150186,-116.2023137
Boston,Massachusetts,MA,506,42.3600825,-71.0588801
Bowling Green,Kentucky,KY,736,36.9685219,-86.4808043
Buffalo,New York,NY,514,42.8864468,-78.8783689
Plattsburgh,New York,NY,523,44.6994873,-73.4529124
Butte-Bozeman,Montana,MT,754,45.9654105,-112.5098066
Casper-Riverton,Wyoming,WY,767,43.0243013,-108.4057448
Cedar Rapids-Waterloo-Iowa City & Dubuque,Iowa,IA,637,41.8780025,-93.097702
Champaign & Springfield-Decatur,Illinois,IL,648,40.6331249,-89.3985283
Charleston,South Carolina,SC,519,32.7764749,-79.9310512
Charleston-Huntington,West Virginia,WV,564,38.3190758,-81.716355
Charlotte,North Carolina,NC,517,35.2270869,-80.8431267
Charlottesville,Virginia,VA,584,38.0293059,-78.4766781
Chattanooga,Tennessee,TN,575,35.0456297,-85.3096801
Cheyenne WY-Scottsbluff,Nebraska,NE,759,41.876312,-103.637984
Chicago,Illinois,IL,602,41.8781136,-87.6297982
Chico-Redding,California,CA,868,40.5733498,-122.3748005
Cincinnati,Ohio,OH,515,39.1031182,-84.5120196
Clarksburg-Weston,West Virginia,WV,598,39.0384274,-80.467313
Cleveland-Akron (Canton),Ohio,OH,510,40.9153779,-81.4418833
Colorado Springs-Pueblo,Colorado,CO,752,38.9117395,-104.7887027
Columbia,South Carolina,SC,546,36.1335816,-95.9515853
Columbia-Jefferson City,Missouri,MO,604,38.5709147,-92.2439177
Columbus,Georgia,GA,522,39.9611755,-82.9987942
Columbus,Ohio,OH,535,39.9611755,-82.9987942
Columbus-Tupelo-West Point,Mississippi,MS,673,34.2230246,-88.7278448
Corpus Christi,Texas,TX,600,27.8005828,-97.396381
Dallas-Ft. Worth,Texas,TX,623,32.7766642,-96.7969879
Rock Island-Moline,Illinois,IL,682,41.5067003,-90.5151342
Dayton,Ohio,OH,542,39.7589478,-84.1916069
Denver,Colorado,CO,751,39.7392358,-104.990251
Des Moines-Ames,Iowa,IA,679,42.0236281,-93.6097448
Detroit,Michigan,MI,505,42.331427,-83.0457538
Dothan,Alabama,AL,606,31.2232313,-85.3904888
Duluth MN-Superior,Wisconsin,WI,676,46.7866719,-92.1004852
El Paso,Texas,TX,765,31.7618778,-106.4850217
Elmira,New York,NY,565,42.0897965,-76.8077338
Erie,Pennsylvania,PA,516,42.1292241,-80.085059
Eugene,Oregon,OR,801,44.0520691,-123.0867536
Eureka,California,CA,802,37.8239167,-96.2891703
Evansville,Indiana,IN,649,37.9715592,-87.5710898
Fairbanks,Alaska,AK,745,64.8377778,-147.7163888
Fargo-Valley City,North Dakota,ND,724,46.9243955,-98.0035186
Flint-Saginaw-Bay City,Michigan,MI,513,43.5993199,-83.8890847
Florence-Myrtle Beach,South Carolina,SC,570,33.6824661,-78.9638109
Fresno-Visalia,California,CA,866,36.32166,-119.3148878
Ft. Myers-Naples,Florida,FL,571,26.1518464,-81.7964871
Ft. Smith-Fayetteville-Springdale-Rogers,Arkansas,AR,670,35.3859242,-94.3985475
Ft. Wayne,Indiana,IN,509,41.079273,-85.1393513
Gainesville,Florida,FL,592,29.6516344,-82.3248262
Glendive,Montana,MT,798,47.106401,-104.7107931
Grand Junction-Montrose,Colorado,CO,773,38.4967651,-107.8989028
Grand Rapids-Kalamazoo-Battle Creek,Michigan,MI,563,42.2355515,-85.5515933
Great Falls,Montana,MT,755,38.9987208,-77.2538699
Green Bay-Appleton,Wisconsin,WI,658,44.3008901,-88.3481422
Greensboro-High Point-Winston Salem,North Carolina,NC,518,35.9556923,-80.0053176
Greenville-New Bern-Washington,North Carolina,NC,545,35.1199116,-77.0896246
Anderson,South Carolina,SC,567,38.9440204,-95.206647
Greenwood-Greenville,Mississippi,MS,647,34.8633424,-82.2755461
Harlingen-Weslaco-Brownsville-McAllen,Texas,TX,636,31.9685988,-99.9018131
Harrisburg-Lancaster-Lebanon-York,Pennsylvania,PA,566,40.266374,-76.875646
Harrisonburg,Virginia,VA,569,38.4495688,-78.8689155
Hartford & New Haven,Connecticut,CT,533,41.3052288,-72.9220308
Hattiesburg-Laurel,Mississippi,MS,710,31.468239,-89.335421
Helena,Montana,MT,766,46.5891452,-112.0391057
Honolulu,Hawaii,HI,744,21.3069444,-157.8583333
Houston,Texas,TX,618,29.7604267,-95.3698028
Huntsville-Decatur (Florence),Alabama,AL,691,34.721323,-86.5751171
Idaho Falls-Pocatello,Idaho,ID,758,42.906046,-112.4315298
Indianapolis,Indiana,IN,527,39.768403,-86.158068
Jackson,Mississippi,MS,718,37.0370221,-95.6164276
Jackson,Tennessee,TN,639,37.0370221,-95.6164276
Jacksonville,Florida,FL,561,30.3321838,-81.655651
Johnstown-Altoona,Pennsylvania,PA,574,40.4529782,-78.3930329
Jonesboro,Arkansas,AR,734,35.8422967,-90.704279
Pittsburg,Kansas,KS,603,38.0279762,-121.8846806
Juneau,Alaska,AK,747,58.3019444,-134.4197221
Kansas City,Missouri,MO,616,39.0997265,-94.5785667
Knoxville,Tennessee,TN,557,35.9606384,-83.9207392
La Crosse-Eau Claire,Wisconsin,WI,702,44.8651049,-91.4743642
Lafayette,Indiana,IN,582,40.4167022,-86.8752869
Lafayette,Louisiana,LA,642,40.4167022,-86.8752869
Lake Charles,Louisiana,LA,643,30.2265949,-93.2173758
Lansing,Michigan,MI,551,42.732535,-84.5555347
Laredo,Texas,TX,749,27.5035613,-99.5075519
Las Vegas,Nevada,NV,839,36.1699412,-115.1398296
Lexington,Kentucky,KY,541,38.0405837,-84.5037164
Lima,Ohio,OH,558,-12.0463731,-77.042754
Lincoln & Hastings-Kearney,Nebraska,NE,722,40.7004026,-99.0783395
Little Rock-Pine Bluff,Arkansas,AR,693,34.2025124,-92.0491611
Los Angeles,California,CA,803,34.0522342,-118.2436849
Louisville,Kentucky,KY,529,38.2526647,-85.7584557
Lubbock,Texas,TX,651,33.5778631,-101.8551665
Macon,Georgia,GA,503,32.8406946,-83.6324022
Madison,Wisconsin,WI,669,43.0730517,-89.4012302
Mankato,Minnesota,MN,737,44.1635775,-93.9993996
Marquette,Michigan,MI,553,46.5436199,-87.3953713
Medford-Klamath Falls,Oregon,OR,813,42.224924,-121.7722781
Memphis,Tennessee,TN,640,35.1495343,-90.0489801
Meridian,Mississippi,MS,711,37.7117226,-97.3723586
Miami-Ft. Lauderdale,Florida,FL,528,26.1228039,-80.150752
Milwaukee,Wisconsin,WI,617,43.0389025,-87.9064736
Minneapolis-St. Paul,Minnesota,MN,613,44.9374831,-93.2009998
