state,postal,searches
Nebraska,NE,858924.0
Connecticut,CT,236448.0
North Dakota,ND,453132.0
Washington,WA,615744.0
Mississippi,MS,1468872.0
South Dakota,SD,469800.0
Colorado,CO,608220.0
Missouri,MO,1409760.0
Montana,MT,1159632.0
Nevada,NV,385920.0
Louisiana,LA,1309212.0
Pennsylvania,PA,1429884.0
South Carolina,SC,887148.0
Ohio,OH,2003616.0
Oregon,OR,819180.0
Kansas,KS,647208.0
Tennessee,TN,1143756.0
Virginia,VA,1366812.0
Illinois,IL,1346040.0
Massachusetts,MA,677052.0
Iowa,IA,928944.0
New Mexico,NM,216324.0
Kentucky,KY,723348.0
Oklahoma,OK,868608.0
Idaho,ID,663984.0
Maine,ME,747072.0
Alaska,AK,569628.0
Alabama,AL,927180.0
Arkansas,AR,943812.0
Arizona,AZ,425052.0
Florida,FL,1929312.0
Georgia,GA,1571256.0
West Virginia,WV,982872.0
New York,NY,2224728.0
Minnesota,MN,751824.0
Maryland,MD,663984.0
North Carolina,NC,1131012.0
Wisconsin,WI,1351980.0
Indiana,IN,1367784.0
Wyoming,WY,217008.0
California,CA,2325528.0
Utah,UT,206712.0
Texas,TX,3532824.0
Michigan,MI,1587348.0
Hawaii,HI,199980.0
