location_id,Cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
662,27,0,16,67,17,50,32,28,45,2004
525,44,5,12,43,27,24,16,18,46,2004
532,47,7,14,49,18,34,19,26,31,2004
790,43,6,13,44,13,30,13,32,45,2004
644,36,0,49,64,26,51,44,38,55,2004
583,69,0,100,97,0,0,0,0,100,2004
634,41,6,16,51,14,20,12,20,42,2004
743,35,5,16,35,13,31,11,24,38,2004
524,42,6,15,35,19,36,13,23,36,2004
520,48,12,26,39,18,24,14,33,37,2004
635,37,5,13,38,18,31,17,22,33,2004
800,38,5,14,58,10,28,20,35,41,2004
512,51,9,18,44,18,44,16,29,40,2004
537,49,13,21,74,14,62,11,48,44,2004
716,43,12,19,34,20,25,16,38,49,2004
692,45,10,18,20,8,35,20,39,47,2004
821,53,12,18,48,14,55,12,46,45,2004
756,34,18,20,100,25,59,20,35,49,2004
746,37,6,15,23,16,27,17,20,37,2004
502,48,3,16,50,12,37,24,31,37,2004
630,48,11,22,37,25,39,15,27,42,2004
559,56,0,24,46,19,36,0,67,23,2004
757,39,4,16,38,22,30,13,42,39,2004
506,48,6,15,38,25,34,14,27,37,2004
736,39,5,14,54,18,25,18,47,31,2004
514,49,5,20,49,18,25,16,26,37,2004
523,49,6,14,53,21,44,10,43,38,2004
754,46,0,15,35,17,42,20,62,27,2004
767,45,0,17,42,21,27,46,60,37,2004
637,55,11,15,63,13,27,17,51,42,2004
648,44,7,13,55,13,44,16,35,42,2004
519,55,14,20,42,16,23,15,15,42,2004
564,42,5,12,50,24,27,17,33,39,2004
517,43,7,16,39,21,29,16,25,35,2004
584,43,12,19,45,15,47,12,27,35,2004
575,43,3,16,41,11,26,23,36,39,2004
759,35,9,17,46,20,40,11,29,46,2004
602,44,6,15,41,20,31,14,26,35,2004
868,36,4,22,33,16,49,14,41,24,2004
515,45,6,18,43,17,25,15,28,39,2004
598,47,0,14,40,18,21,24,46,36,2004
510,42,6,16,44,18,26,14,25,36,2004
752,32,5,19,32,20,24,12,26,26,2004
546,45,5,12,45,19,29,11,37,35,2004
604,56,9,12,65,23,36,14,50,49,2004
522,41,7,17,46,25,33,14,64,39,2004
535,46,6,14,43,17,36,14,23,34,2004
673,48,8,14,29,19,37,16,34,26,2004
600,37,7,17,37,18,32,11,32,43,2004
623,38,7,16,35,19,27,12,22,35,2004
682,43,7,18,44,16,36,14,26,40,2004
542,43,3,12,45,19,21,13,34,35,2004
751,40,6,15,37,16,26,14,24,33,2004
