state,postal,searches
Nebraska,NE,1169091.0
Connecticut,CT,321832.0
North Dakota,ND,616763.0
Washington,WA,838096.0
Mississippi,MS,1999298.0
South Dakota,SD,639450.0
Colorado,CO,827855.0
Missouri,MO,1918840.0
Montana,MT,1578388.0
Nevada,NV,525280.0
Louisiana,LA,1781983.0
Pennsylvania,PA,1946231.0
South Carolina,SC,1207507.0
Ohio,OH,2727144.0
Oregon,OR,1114995.0
Kansas,KS,880922.0
Tennessee,TN,1556779.0
Virginia,VA,1860383.0
Illinois,IL,1832110.0
Massachusetts,MA,921543.0
Iowa,IA,1264396.0
New Mexico,NM,294441.0
Kentucky,KY,984557.0
Oklahoma,OK,1182272.0
Idaho,ID,903756.0
Maine,ME,1016848.0
Alaska,AK,775327.0
Alabama,AL,1261995.0
Arkansas,AR,1284633.0
Arizona,AZ,578543.0
Florida,FL,2626008.0
Georgia,GA,2138654.0
West Virginia,WV,1337798.0
New York,NY,3028102.0
Minnesota,MN,1023316.0
Maryland,MD,903756.0
North Carolina,NC,1539433.0
Wisconsin,WI,1840195.0
Indiana,IN,1861706.0
Wyoming,WY,295372.0
California,CA,3165302.0
Utah,UT,281358.0
Texas,TX,4808566.0
Michigan,MI,2160557.0
Hawaii,HI,272195.0
