City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
Portland-Auburn ME,79,44,70,72,70,72,61,51,75,2014
New York NY,71,33,45,53,58,57,56,39,62,2014
Binghamton NY,80,36,63,74,50,66,75,65,72,2014
Macon GA,72,56,69,60,71,53,68,54,78,2014
Philadelphia PA,81,39,57,62,83,68,66,44,70,2014
Detroit MI,74,42,59,58,64,58,65,37,65,2014
Boston MA-Manchester NH,77,40,54,61,88,65,62,43,67,2014
Savannah GA,73,46,64,60,54,62,70,51,64,2014
Pittsburgh PA,82,40,70,67,77,71,71,43,70,2014
Ft. Wayne IN,75,39,63,72,58,64,72,51,68,2014
Cleveland-Akron (Canton) OH,76,43,58,64,59,60,68,49,70,2014
Washington DC (Hagerstown MD),66,30,43,46,47,59,52,38,60,2014
Baltimore MD,80,52,58,62,66,78,63,59,79,2014
Flint-Saginaw-Bay City MI,76,46,72,71,59,56,70,51,72,2014
Buffalo NY,84,36,60,65,64,64,66,47,71,2014
Cincinnati OH,74,39,54,60,53,68,67,44,74,2014
Erie PA,83,47,65,71,70,63,73,42,76,2014
Charlotte NC,69,33,53,54,56,51,65,39,65,2014
Greensboro-High Point-Winston Salem NC,76,52,63,64,63,63,63,53,77,2014
Charleston SC,78,41,76,58,65,64,68,46,69,2014
Augusta GA,69,28,62,54,70,41,72,24,59,2014
Providence RI-New Bedford MA,76,48,53,66,69,64,65,47,66,2014
Columbus GA,74,49,63,61,66,62,70,61,74,2014
Burlington VT-Plattsburgh NY,72,37,65,68,70,70,61,55,65,2014
Atlanta GA,72,41,53,51,56,51,63,35,64,2014
Albany GA,76,71,64,64,62,52,64,64,77,2014
Utica NY,81,25,53,72,61,65,63,47,66,2014
Indianapolis IN,77,46,61,68,63,67,70,56,80,2014
Miami-Ft. Lauderdale FL,66,44,49,46,59,48,52,37,61,2014
Louisville KY,81,43,68,62,91,63,81,44,77,2014
Tallahassee FL-Thomasville GA,74,55,65,62,76,64,59,64,75,2014
Tri-Cities TN-VA,90,61,68,67,68,78,84,55,82,2014
Albany-Schenectady-Troy NY,76,31,59,67,57,74,68,48,71,2014
Hartford & New Haven CT,79,46,58,66,81,75,58,51,72,2014
Orlando-Daytona Beach-Melbourne FL,72,46,60,49,68,49,68,33,64,2014
Columbus OH,78,37,55,61,55,63,69,43,72,2014
Youngstown OH,82,33,60,68,64,59,83,50,69,2014
Bangor ME,78,36,80,79,67,70,68,47,70,2014
Rochester NY,82,37,62,63,47,67,64,55,71,2014
Tampa-St. Petersburg (Sarasota) FL,81,51,61,52,73,56,68,37,67,2014
Traverse City-Cadillac MI,74,31,74,74,54,76,67,45,71,2014
Lexington KY,85,46,67,70,59,62,81,66,76,2014
Dayton OH,75,30,55,69,52,62,71,45,74,2014
Springfield-Holyoke MA,74,43,59,75,78,70,63,63,73,2014
Norfolk-Portsmouth-Newport News VA,69,47,55,61,52,57,66,49,69,2014
Greenville-New Bern-Washington NC,74,42,71,60,58,62,75,44,72,2014
Columbia SC,77,53,61,66,61,66,62,76,81,2014
Toledo OH,76,49,66,69,74,64,67,59,76,2014
